Pay Card ID;Monetary
60403675436;112000
60404498697;0
60417020934;0
60421208343;23500
60427539402;3500
60438823183;30500
60459139923;3500
60477173011;3500
501826306422;3500
501828129459;0
501829329314;115500
501830527583;10500
501834837947;7000
501835583250;7000
501843492007;35000
501844964426;0
501862539795;3500
501879923123;0
501898786352;3500
502001656953;126000
502010098205;3500
502018648266;3500
502034641014;119000
502056340149;0
502057680857;0
502060771669;3500
502072062834;115500
502079867680;0
502084785232;3500
502085435639;112000
502098244101;112000
503808358074;3500
503808820412;0
503811010654;3500
503815656676;7000
503816903945;20000
503835633655;10500
503837878738;7000
503841011862;49000
503841650990;126000
503850400063;3500
503859106877;45500
503861527151;0
503867890736;126000
503873796075;0
503882172573;108500
560124338883;0
560633309896;7000
561500422432;0
563170787110;0
564493024850;0
564770692288;7000
564779969448;7000
564804206261;7000
565431772831;133000
565511286645;0
565845480021;3500
565988717981;0
566171543168;136500
566942923723;30500
567048101008;240000
567169910336;105000
567286069354;0
567328477953;7000
568339050417;0
569536767183;0
570918242399;126000
570928206772;136500
571548857234;31500
571979859337;112000
572311836488;0
572544509597;112000
572846044996;0
573673840092;7000
573891473155;3500
573942256138;122500
574726750023;0
574887290025;10500
575273480229;115500
575724437786;0
576927814706;3500
577158629979;10500
578253836568;122500
579114498853;27000
579559716439;0
580165317646;35000
581570008267;3500
584795923666;112000
585314901299;0
586670325479;0
586818272435;115500
587526878497;20000
587537853984;122500
587887634588;101500
587942434511;122500
588376777318;0
589057391023;0
630411801479;0
630413421839;10500
630419596436;240000
630440475063;7000
630464739089;7000
630465282121;3500
630465586752;112000
630468015049;0
630468899772;3500
630470696539;126000
630471439459;45500
630480849201;0
630485154219;0
630486994241;126000
630487347266;0
630487570438;10500
630495252185;10500
639000296355;680000
639010421852;3500
639030041482;10500
639038023698;7000
639040388584;126000
639040716958;0
639048791417;122500
639067876230;0
639074274320;3500
639083950241;0
639099174703;126000
675931790124;7000
675934713586;3500
675967519363;0
675969825727;3500
675970532189;10500
675974474768;7000
675983362574;0
675987410957;10500
675990206087;0
675993490696;7000
676100508875;0
676110340186;7000
676145146616;0
676170059098;108500
676170489782;108500
676172975739;122500
676190181542;3500
676192275250;119000
676194898042;47000
676201754147;0
676208293602;7000
676223317774;3500
676238149170;10500
676246072349;27000
676249291979;0
676258627659;122500
676264221174;126000
676266186037;0
676274145736;0
676283044227;720000
676292018345;0
676293109036;119000
676311246976;10500
676316443321;0
676318264501;42000
676323397635;7000
676327742745;0
676340574497;3500
676346336529;43500
676367323901;119000
676368577380;0
676371995694;0
676379677179;112000
676391914618;38500
4000041838802;0
4009697722749;0
4013476857759;3500
4016568396545;0
4023591971708;0
4038622850424;0
4040314383482;0
4043008301075;3500
4044179543016;3500
4049598658998;23500
4055737709006;35000
4056836188316;0
4065366568284;3500
4066577839605;0
4068378587730;45500
4071577362475;0
4095427468067;3500
4097122165824;108500
4112330548313;0
4119972246486;7000
4121673937975;0
4122123545871;122500
4139531858845;3500
4150186692389;0
4188469163215;49000
4194649297295;3500
4197520568098;14000
4204629498605;10500
4205984560392;119000
4216440479440;3500
4227610062494;7000
4227729131214;45500
4228631436774;7000
4231995142673;105000
4235359148242;7000
4241814663460;7000
4249227937686;3500
4256817668191;10500
4263095985131;0
4273966735515;0
4281653494791;129500
4290559479079;680000
4291465280304;10500
4300964686794;3500
4306052879688;3500
4307408224686;112000
4313050166209;0
4316052775612;10500
4323180529937;122500
4323424420612;0
4331844486345;0
4349882795195;3500
4357457456440;640000
4358928087871;42000
4362659538201;3500
4367294005037;7000
4374767918118;3500
4377787328010;7000
4381168764041;3500
4384282576580;3500
4398802942684;126000
4400887914495;122500
4407982607791;42000
4421630797854;115500
4422444870929;0
4432146433702;0
4439401513771;10500
4445427212090;129500
4448373768784;7000
4459391777491;3500
4461146257530;115500
4484911604850;3500
4495228866149;0
4498288202551;0
4513655143046;126000
4526082263963;3500
4541880000962;0
4543926367520;10500
4546580766523;7000
4555304365157;0
4575486841940;0
4577386103603;3500
4578011445781;0
4580329739350;0
4580601025213;0
4582025937312;7000
4618084512479;7000
4621454280297;7000
4629225227158;129500
4658390521830;3500
4658673312063;42000
4678097992274;122500
4679239370635;10500
4682220924642;126000
4693742373622;23500
4695307602279;3500
4697156234816;0
4709994160903;740000
4718462919104;23500
4718616234301;35000
4725775400524;0
4726554349155;0
4727479284006;0
4742238627791;3500
4743531705649;0
4745660707486;7000
4748618433619;7000
4760129001603;7000
4760137225202;0
4762168511427;7000
4767711653196;122500
4775206940093;0
4791851470070;0
4804574576642;0
4813069952218;0
4821029051872;0
4821680998213;7000
4824850146050;49000
4834222061986;3500
4836081459896;10500
4844470388320;0
4848891778217;0
4849516997489;20000
4852221634256;122500
4853213936956;126000
4863916116749;0
4866586731093;0
4872411398116;0
4874449016082;3500
4875145882289;0
4875206118292;27000
4880385425658;0
4897033850053;122500
4906811590177;7000
4907587242613;0
4928589848629;126000
4931734690862;3500
4933173483056;0
4946543493373;0
4946777822784;122500
4948977213350;0
4956673008776;0
4960241087932;7000
4964008481270;112000
4966489323202;122500
4969284110642;126000
4992399872617;0
4993710478837;0
30002217769215;3500
30007077737525;7000
30009444808450;23500
30011083993544;115500
30015996038594;3500
30023091550042;7000
30024766664563;7000
30029590639160;126000
30030347979206;0
30038102422775;3500
30038862775438;3500
30042986059794;3500
30049505347485;38500
30063543803011;133000
30066742678589;119000
30068671582428;10500
30076208696652;0
30076245962299;10500
30077025116544;10500
30086319184308;3500
30087999917744;3500
30092164700289;3500
30100687125098;101500
30102021683402;30500
30118628845442;0
30128251923093;7000
30129293116423;7000
30136816489518;129500
30146000910179;126000
30148256871071;3500
30152377357879;3500
30154692388860;0
30158257275842;122500
30160416336911;3500
30164080918459;129500
30173960301876;10500
30183483265664;0
30204462301856;0
30207713127087;3500
30213702385918;0
30215145049969;0
30217806512665;14000
30218688993296;122500
30220283510053;0
30233090748972;31500
30236429604840;7000
30237216024648;7000
30239252986086;20000
30240183284849;7000
30242744757164;0
30243553113457;3500
30243692336233;115500
30250563095830;7000
30256261072781;0
30268033336998;23500
30272434639554;3500
30276672399789;119000
30294523538109;0
30297544751882;0
30299394314803;10500
30307565145425;3500
30310358800206;680000
30316232461842;20000
30324712076056;0
30327528751648;136500
30335751052527;10500
30368700827970;7000
30370190813577;20000
30375353002744;45500
30378484061308;3500
30379737643934;7000
30382207494317;3500
30385017224303;0
30389692704498;0
30391027137790;7000
30393449116998;0
30400675225581;0
30411542225886;38500
30412791717573;0
30420755097205;14000
30427752176460;0
30428250357040;0
30431553316218;0
30433284698559;119000
30437384286033;0
30438939516312;680000
30441106310287;7000
30441889571006;0
30453434239088;0
30458243667825;119000
30468584253606;0
30468724391654;0
30471339318393;31500
30471438544758;0
30471989684136;136500
30477079103846;10500
30480183587078;20000
30482544684347;122500
30495673428443;10500
30539788142538;0
30545912633714;0
30546696437603;129500
30566784196002;0
30567691580213;115500
30568752227520;7000
30568786410068;0
30569163714239;3500
30572818116818;23500
30583455954585;0
30584868425288;10500
30595674997419;7000
30596212770078;122500
30596855063062;7000
36003930452687;3500
36006226446453;105000
36047921068184;10500
36057761709078;7000
36153254575181;129500
36162260650821;0
36191244854712;122500
36291352939899;7000
36330618782725;0
36393783138941;0
36461801799828;129500
36476308530047;0
36587029529827;115500
36598361926067;27000
36667443839505;10500
36709320968021;112000
36716053653423;0
36734415819640;10500
36768379265457;133000
36862448099508;0
36883602587849;45500
36963033891422;0
38007841175269;3500
38047439997559;23500
38054561616619;0
38183446361164;0
38190585044071;7000
38322949612760;7000
38363406879922;7000
38414806494844;129500
38449865616788;7000
38592056601117;7000
38641536387449;3500
38803459613637;0
38854847237365;3500
38919000659661;115500
38951481647360;0
180000271117261;0
180000876162530;101500
180001710094731;10500
180001837393123;49000
180002075456838;10500
180004245990597;3500
180004593186475;108500
180005680484434;31500
180005977764266;0
180005992866880;115500
180006387820342;0
180006537547852;0
180008292897068;126000
180009851731375;0
180016859215889;133000
180020791350481;112000
180022455185013;10500
180022972730457;126000
180026403444133;7000
180027112876102;3500
180029074109431;7000
180029435580718;0
180029770967827;0
180029887732247;0
180030301738141;0
180030312264608;0
180032476190454;112000
180032529782349;7000
180034538389959;3500
180038448564171;7000
180038648645358;14000
180039849944954;0
180040603003177;0
